id,name,code,account_type,reconcile,tag_ids
l10n_py_coa.account_51110,Costo honorarios,51110,expense_direct_cost,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_51111,Costo Servicio Digital,51111,expense_direct_cost,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_52202,Comisio.de ventas por tarjeta,52202,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_52203,Publicidad y propaganda,52203,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_52204,Gastos de promoción,52204,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_52205,Control de calidad,52205,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_52206,Gastos de Materiales,52206,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_52207,Servicios Digitales,52207,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_52302,Gastos Generales Bebidas,52302,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_52304,Gastos Varios,52304,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_52306,Gastos de Fin de Año,52306,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5310102,Horas extras,5310102,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5310103,Feriados trabajados,5310103,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5310104,Bonificación familiar,5310104,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5310105,Vacaciones,5310105,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5310106,Gratificación,5310106,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5310107,Aguinaldo,5310107,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5310108,Indemización por despido,5310108,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5310109,Preaviso por despido,5310109,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5310110,Aporte patronal IPS,5310110,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5310111,Prestacion al Personal,5310111,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5310203,Uniformes,5310203,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5310204,Capacitación al personal,5310204,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5310205,Gastos de Consumicion,5310205,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5310302,Remun.Pers.Superior Presidente,5310302,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5310303,Remun.Pers.Superior Director,5310303,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5310304,Remun.Pers.Superior Gerente,5310304,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5310401,Honorarios Profesionales,5310401,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5320105,Servicios Básicos,5320105,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5320202,Gastos de Telefonia Movil,5320202,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5320203,Gastos de Internet,5320203,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5330102,Patente Comercial,5330102,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5330103,Impuesto Inmobiliario,5330103,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5330104,Tasas Especiales,5330104,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5330105,Patente de Rodados,5330105,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5330106,Patente Municipal,5330106,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5330107,Otros Impuestos,5330107,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5330201,Impuesto a la Renta,5330201,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5340102,Seguro de Incendio,5340102,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5340103,Seguro de Cristales y Otros,5340103,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5340104,Seguro de Robo y Otros,5340104,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5340105,Seguro de Accidentes Personal,5340105,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5340106,Seguro de Automoviles,5340106,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5340107,Responsabilidad Civil,5340107,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5340108,Seguros Pagados,5340108,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5350402,Serv.Mant.de Edif e Instal.,5350402,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5350403,Mater.Mant. de Edif. e Instal,5350403,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5350404,Gastos de Limpieza,5350404,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5350502,Serv.Mant. de Equip. de Inform,5350502,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5350503,Mater.Mant.de Equip de Inform,5350503,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5350602,Serv.Mant. Mueb y Util de Ofic,5350602,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5350603,Mater.Mant.Mueb. y Util de Ofi,5350603,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5350705,Expensas del local,5350705,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5350802,Serv.Mant. de Rodados,5350802,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5350803,Mater.Mant.de Rodados,5350803,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5350804,Serv.Mant.Menor de Rodados,5350804,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5350805,Combustibles,5350805,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5350806,Lubricantes,5350806,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5350902,Serv.Mant. de Jardinaria,5350902,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5350903,Mater.Mant.de Jardineria,5350903,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5351002,Serv.Mant.de Equip de Comunic,5351002,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5351003,Mater.Mant.de Equip de Comunic,5351003,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5351101,Serv.Mant.de Muebles y Equipos,5351101,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5351102,Mater.Mant.de Muebles y Equipo,5351102,expense,False,l10n_py_coa.account_tag_paraguay
